92,Concentrix ,Ranchi- Arsh Heights,,,
93,Concentrix ,Ranchi- Maru tower,,,
94,Concentrix ,Visakhapatnam_Lansum Square,,,
95,Concentrix ,Visakhapatnam_SRK Destiny,,,
96,Concentrix ,Vizag - Lansum,,,
97,Concentrix ,Vizag - SRK,,,
98,Concentrix ,"Gurgaon - DLF Bld 14 (11,16,18)",,,
99,Concentrix ,"Gurgaon - DLF Bld 14 (17,G)",,,
100,Concentrix ,Gurgaon - DLF Bld 14 (20),,,
101,Concentrix ,"Gurgaon - DLF Bld 14 (5,6)",,,
102,Concentrix ,Gurgaon - DLF Bld 6,,,
103,Concentrix ,"Gurgaon - SP Infocity (3A, 7A)",,,
104,Concentrix ,"Gurgaon - SP Infocity (3rd Flr, 7th Flr)",,,
105,Concentrix ,Gurgaon - UV 184,,,
106,Concentrix ,Rajmahal Bhubaneshwar,,,
107,Concentrix ,Visakhapatnam_Lansum Square,,,
108,Concentrix ,Visakhapatnam_SRK Destiny,,,
109,Concentrix ,Bangalore - Millennium Towers,,,
110,Concentrix ,Vododara - Imperia,,,
111,Concentrix ,Bangalore Eco space 4A,,,
112,Concentrix ,Chennai_Fortune Tower,,,
113,Concentrix ,Imperia,,,
114,Concentrix ,Mumbai -Symphony,,,
115,Concentrix ,Pune - E Space,,,
116,Concentrix ,Vadodara -Alembic,,,
117,Concentrix ,Pune - E Space,,,
118,Concentrix ,Chennai - Fortune Tower,,,
119,Concentrix ,Chennai_Fortune Tower,,,
120,Conduent,Bangalore - Aviator,,,
121,Conduent,Hydrabad - GAR LIB,,,
122,Conduent,Kochin - Vismaya &Carnival,,,
123,Conduent,Noida - Condor,,,
124,Conduent,Vizag - Millenium,,,
125,Convergys India Services Pvt Ltd,Bangalore - Divyasree,,,
126,Convergys India Services Pvt Ltd,Bangalore-Divyasree,,,
127,Convergys India Services Pvt Ltd,G-Corp Thane,,,
128,Convergys India Services Pvt Ltd,Gurgaon - SP Infocity,,,
129,Convergys India Services Pvt Ltd,Gurgaon-SP infocity,,,
130,Convergys India Services Pvt Ltd,Harayana - Infinity,,,
131,Convergys India Services Pvt Ltd,Hyderabad- Raheja 2A,,,
132,Convergys India Services Pvt Ltd,Mumbai - Paradigm,,,
133,Convergys India Services Pvt Ltd,Mumbai  -Thane-G-Corp,,,
134,Convergys India Services Pvt Ltd,Mumbai  - Paradigm,,,
135,Convergys India Services Pvt Ltd,Paradigm Towers,,,
136,Convergys India Services Pvt Ltd,Pune-RMZ,,,
137,Convergys India Services Pvt Ltd,"Raheja 2A, Hyderabad ",,,
138,Convergys India Services Pvt. Ltd.,"G-Corp Tech Park, Mumbai",,,
139,Concentrix,Bangalore-Divyasree,,,
140,Concentrix,G-Corp Thane,,,
141,Concentrix,Gurgaon - SP Infocity,,,
142,Concentrix,Gurgaon-SP infocity,,,
143,Concentrix,Harayana - Infinity,,,
144,Concentrix,Hyderabad- Raheja 2A,,,
145,Concentrix,Mumbai - Paradigm,,,
146,Concentrix,Mumbai  -Thane-G-Corp,,,
147,Concentrix,Mumbai  - Paradigm,,,
148,Concentrix,Paradigm Towers,,,
149,Concentrix,Pune-RMZ,,,
150,Concentrix,"Raheja 2A, Hyderabad ",,,
151,DBS Bank India Limited,A.S Rao Nagar - Hyderabad,,,
152,DBS Bank India Limited,Adilabad - Hyderabad,,,
153,DBS Bank India Limited,Alathur - Karur,,,
154,DBS Bank India Limited,Ambilikai - Karur,,,
155,DBS Bank India Limited,Ambilikkai - Karur,,,
156,DBS Bank India Limited,Anathapur-Hyderabad,,,
157,DBS Bank India Limited,Andhra Pradesh,,,
158,DBS Bank India Limited,Andhra Pradesh ,,,
159,DBS Bank India Limited,Anna Salai - Chennai,,,
160,DBS Bank India Limited,"ANNAMAYYA CIRCLE, TIRUPATHI - Hyderabad",,,
161,DBS Bank India Limited,Basavangudi - Bangalore,,,
162,DBS Bank India Limited,Basavangudi -  Bangalore ,,,
163,DBS Bank India Limited,Bhilwara - Delhi,,,
164,DBS Bank India Limited,Bhimavaram - Hyderabad,,,
165,DBS Bank India Limited,Bhimavaram-Hyderabad,,,
166,DBS Bank India Limited,Brahmadevam - Hyderabad,,,
167,DBS Bank India Limited,Cathedral Road - Chennai,,,
168,DBS Bank India Limited,Chalakudy - Kerala,,,
169,DBS Bank India Limited,Chattisgarh,,,
170,DBS Bank India Limited,Chennai,,,
171,DBS Bank India Limited,Chennai Main & G. N Street - Chennai,,,
172,DBS Bank India Limited,Chennai OMR Kiosk,,,
173,DBS Bank India Limited,Chitra Durga - Bangalore,,,
174,DBS Bank India Limited,Coimbatore DBIL - Coimbatore,,,
175,DBS Bank India Limited,Coimbatore DBIL-Coimbatore,,,
176,DBS Bank India Limited,Coimbatore Main - Coimbatore,,,
177,DBS Bank India Limited,corporate office - Chennai,,,
178,DBS Bank India Limited,Cuddapah - Hyderabad,,,
179,DBS Bank India Limited,Cumbum- karur,,,
180,DBS Bank India Limited,Davanagere - Bangalore,,,
181,DBS Bank India Limited,DAVANGERE - Bangalore,,,
182,DBS Bank India Limited,DBS bank Centre - Chennai,,,
183,DBS Bank India Limited,DBS Jamshedpur branch,,,
184,DBS Bank India Limited,"DBS, Durg Branch, Chattisgarh",,,
185,DBS Bank India Limited,"DBS, Garia, kolkata",,,
186,DBS Bank India Limited,"DBS, Salt Lake, Kolkata",,,
187,DBS Bank India Limited,Delhi,,,
188,DBS Bank India Limited,Dindigul CC -Karur,,,
189,DBS Bank India Limited,DLF Gurgaon,,,
190,DBS Bank India Limited,DOMMARA NANDIYAL - Hyderabad,,,
191,DBS Bank India Limited,Dondapadu - Hyderabad,,,
192,DBS Bank India Limited,Express Tower - MAHARASHTRA,,,
193,DBS Bank India Limited,Gadag - Bangalore,,,
194,DBS Bank India Limited,Gandhipuram - Coimbatore,,,
195,DBS Bank India Limited,"Garia, kolkata",,,
196,DBS Bank India Limited,Guduvanchery - Chennai,,,
197,DBS Bank India Limited,Gujarat,,,
198,DBS Bank India Limited,Guntur - Hyderabad,,,
199,DBS Bank India Limited,Haryana,,,
200,DBS Bank India Limited,HSR Layout Bangalore,,,
201,DBS Bank India Limited,Indore - Madhya Pradesh,,,
202,DBS Bank India Limited,Jalakandapuram - Coimbatore,,,
203,DBS Bank India Limited,Jayanagar - Bangalore ,,,
204,DBS Bank India Limited,Jharkhand,,,
